Item,Price
LED Indoor P3.9,600.000
LED Indoor P2.9,700.000
LED Indoor P2.6,800.000
LED Outdoor P3.9,800.000
Tambahan per 1 jam pemakaian :,100.000
Sewa genset start 40 kva :,2.000.000
Akses loading tanpa lift dikenakan charge tambahan biaya :,500.000
"Kabel hdmi panjang dibawah 20m free, 20m-50m :","100.000,"
Dudukan diatas 1.2m gunakan ringlock/rigging gawangan tambahan biaya :,2.000.000
LED Indoor P1.5,5.000.000
TV LCD 60 INCH (137cm x 79cm),800.000
TV LCD 43 INCH (97cm x 57cm),500.000
TV LCD 50 INCH (117cm x 71cm),600.000
TV LCD 55 INCH (124cm x 72cm),700.000
TV LCD 70 INCH (157cm x 91cm),1.600.000
TV LCD 86 INCH (194cm x 111cm),3.700.000
Akses loading tanpa lift dikenakan charge tambahan biaya :,500.000
"Kabel hdmi panjang dibawah 20m free, 20m-50m :","100.000,"
TV TOUCHSCREEN 65 INCH (147cm x 85cm),3.000.000
TV TOUCHSCREEN 43 INCH (98cm x 57cm),2.000.000
TV TOUCHSCREEN 50 INCH (113.5cm x 66.5cm),2.300.000
TV TOUCHSCREEN 55 INCH (125cm x 74cm),2.500.000
TV TOUCHSCREEN 70 INCH (195cm X 112cm),4.500.000
"SCREEN TRIPOD 70""X70"" (1,7m x 1,7m)",250.000
"SCREEN TRIPOD 84""X84"" (2,1m x 2,1m)",300.000
"SCREEN PORTABLE 120"" (2,4m x 1,8m)",400.000
"SCREEN PORTABLE 150"" (3m x 2,3m)",500.000
"SCREEN PORTABLE 180"" (3,5m x 2,5m)",700.000
"SCREEN PORTABLE 200"" (4m x 3m)",700.000
"SCREEN PORTABLE 210"" (4,5m x 3,5m)",700.000
"SCREEN PORTABLE 300"" (6m x 4,5m)",1.800.000
"SCREEN PORTABLE 400"" (8m x 6m)",4.500.000
SCREEN PANORAMIC (13m x 4m),5.000.000
SCREEN CUSTOMIZED FLEXLITE,250.000
Projector 4.000 Lumens,800.000
Projector 4.500 Lumens,1.000.000
Projector 5.000 Lumens,1.200.000
Projector 5.500 Lumens,1.400.000
Projector 6.000 Lumens,1.500.000
Projector 6.500 Lumens,2.000.000
Projector 7.000 Lumens,2.500.000
Projector 8.000 Lumens,3.000.000
Projector 10.000 Lumens,3.500.000
Projector 12.000 Lumens,4.500.000
Projector 13.000 Lumens,5.500.000
Projector 15.000 Lumens,7.500.000
Projector 16.000 Lumens,8.500.000
Projector 26.000 Lumens,25.000.000
Projector 30.000 Lumens,30.000.000
